author,philosophy,society,religion,love,death,nature,war,identity,books
"Shorter, Clement King",0.4796,0.0,0.0,0.0,0.0,0.355,0.1655,0.0,1
"Gaskell, Elizabeth Cleghorn",0.2603,0.0153,0.0379,0.0852,0.1178,0.264,0.1272,0.0924,2
"Butler, Samuel",0.1982,0.0728,0.0568,0.0514,0.1591,0.2238,0.0083,0.2297,1
Plato,0.1965,0.0649,0.1415,0.1075,0.1389,0.1431,0.065,0.1427,9
"Nietzsche, Friedrich Wilhelm",0.1809,0.0577,0.1361,0.0827,0.1436,0.1627,0.0862,0.15,10
"Dill, Samuel",0.1798,0.0821,0.0478,0.0659,0.1385,0.2629,0.1072,0.1159,1
"Forster, John",0.1583,0.0762,0.1137,0.1214,0.2126,0.1451,0.0469,0.1259,1
"Tolstoy, Leo, graf",0.1576,0.0703,0.1297,0.0962,0.1269,0.1693,0.1211,0.129,10
"Thoreau, Henry David",0.1561,0.0517,0.0706,0.0623,0.144,0.2744,0.085,0.156,10
"Cruttwell, Charles Thomas",0.1516,0.03,0.1073,0.1227,0.2387,0.1047,0.0812,0.1638,1
"Malham-Dembleby, John",0.1479,0.0393,0.1001,0.0779,0.1518,0.1953,0.1436,0.1441,1
"Marcus Aurelius, Emperor of Rome",0.146,0.0478,0.1251,0.1102,0.1508,0.1814,0.1018,0.137,5
"Renan, Ernest",0.1442,0.064,0.1715,0.1356,0.1115,0.1504,0.0781,0.1447,1
"Darwin, Charles",0.136,0.0953,0.0848,0.1004,0.1233,0.26,0.0708,0.1295,9
"Dickens, Charles",0.1186,0.0729,0.0649,0.1304,0.2031,0.196,0.0773,0.1368,9
"Austen, Jane",0.1178,0.0858,0.0403,0.1611,0.1587,0.2529,0.073,0.1104,10
"Dostoyevsky, Fyodor",0.1117,0.0387,0.0106,0.0153,0.2034,0.215,0.2205,0.1848,1
"Brontë, Charlotte",0.1115,0.05,0.028,0.1298,0.1685,0.2999,0.0782,0.134,6
"Joy, John C. (John Chrisentia)",0.0401,0.0693,0.0738,0.139,0.1921,0.1705,0.1434,0.1718,1
