book_id,canonical_author,author,title,similarity
22764,Darwin,"Darwin, Charles",On the Origin of Species by Means of Natural Selection: or the Preservation of Favoured Races in the Struggle for Life. (2nd edition),0.4603138
38145,Nietzsche,"Nietzsche, Friedrich Wilhelm","Human, All Too Human: A Book for Free Spirits",0.46029437
23427,Butler,"Butler, Samuel","Evolution, Old & New: Or, the Theories of Buffon, Dr. Erasmus Darwin and Lamarck,; as compared with that of Charles Darwin",0.44119278
27726,Tolstoy,"Tolstoy, Leo, graf",Tolstoy on Shakespeare: A Critical Essay on Shakespeare,0.40998933
52319,Nietzsche,"Nietzsche, Friedrich Wilhelm","The Genealogy of Morals: The Complete Works, Volume Thirteen, edited by Dr. Oscar Levy.",0.40852073
1672,Plato,Plato,Gorgias,0.39172146
21839,Austen,"Austen, Jane",Sense and Sensibility,0.38309428
57393,Thoreau,"Thoreau, Henry David","Journal 01, 1837-1846: The Writings of Henry David Thoreau, Volume 07 (of 20)",0.38052
52190,Nietzsche,"Nietzsche, Friedrich Wilhelm","Ecce Homo: Complete Works, Volume Seventeen",0.37899333
59031,Thoreau,"Thoreau, Henry David","Journal 02, 1850-September 15, 1851: The Writings of Henry David Thoreau, Volume 08 (of 20)",0.37862292
4363,Nietzsche,"Nietzsche, Friedrich Wilhelm",Beyond Good and Evil,0.36785024
51356,Nietzsche,"Nietzsche, Friedrich Wilhelm","The Birth of Tragedy; or, Hellenism and Pessimism",0.36135566
1022,Thoreau,"Thoreau, Henry David",Walking,0.35194054
1227,Darwin,"Darwin, Charles",The Expression of the Emotions in Man and Animals,0.3502085
46,Dickens,"Dickens, Charles",A Christmas Carol in Prose; Being a Ghost Story of Christmas,0.3497688
52915,Nietzsche,"Nietzsche, Friedrich Wilhelm",The Will to Power: An Attempted Transvaluation of All Values. Book III and IV,0.34831756
43302,Tolstoy,"Tolstoy, Leo, graf","""The Kingdom of God Is Within You"": Christianity Not as a Mystic Religion but as a New Theory of Life",0.34788704
2087,Darwin,"Darwin, Charles",Life and Letters of Charles Darwin — Volume 1,0.3473617
730,Dickens,"Dickens, Charles",Oliver Twist,0.34656155
1600,Plato,Plato,Symposium,0.34496367
43523,Thoreau,"Thoreau, Henry David","Familiar Letters: The Writings of Henry David Thoreau, Volume 06 (of 20)",0.3431443
26663,Tolstoy,"Tolstoy, Leo, graf",Fruits of Culture,0.34280556
1572,Plato,Plato,Timaeus,0.33775228
59196,Dostoyevsky,"Dostoyevsky, Fyodor",Index of the Project Gutenberg Works of Fyodor Dostoevsky,0.33730662
58273,Thoreau,"Thoreau, Henry David",Index of the Project Gutenberg Works of Henry David Thoreau,0.33542353
1399,Tolstoy,"Tolstoy, Leo, graf",Anna Karenina,0.32938722
1726,Plato,Plato,Theaetetus,0.3267424
6920,Marcus Aurelius,"Marcus Aurelius, Emperor of Rome",Thoughts of Marcus Aurelius,0.32092357
1656,Plato,Plato,Apology,0.31878716
1636,Plato,Plato,Phaedrus,0.3173781
1998,Nietzsche,"Nietzsche, Friedrich Wilhelm",Thus Spake Zarathustra: A Book for All and None,0.31358206
71,Thoreau,"Thoreau, Henry David",On the Duty of Civil Disobedience,0.31265616
52263,Nietzsche,"Nietzsche, Friedrich Wilhelm","The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist: Complete Works, Volume Sixteen",0.31246316
766,Dickens,"Dickens, Charles",David Copperfield,0.30503327
19322,Nietzsche,"Nietzsche, Friedrich Wilhelm",The Antichrist,0.30422342
1342,Austen,"Austen, Jane",Pride and Prejudice,0.30076945
1260,Bronte,"Brontë, Charlotte",Jane Eyre: An Autobiography,0.29982162
15877,Marcus Aurelius,"Marcus Aurelius, Emperor of Rome",Thoughts of Marcus Aurelius Antoninus,0.29899117
1658,Plato,Plato,Phaedo,0.2959004
1400,Dickens,"Dickens, Charles",Great Expectations,0.29559845
1023,Dickens,"Dickens, Charles",Bleak House,0.29485297
42671,Austen,"Austen, Jane",Pride and Prejudice,0.29470748
205,Thoreau,"Thoreau, Henry David","Walden, and On The Duty Of Civil Disobedience",0.29415497
26661,Tolstoy,"Tolstoy, Leo, graf",The Power of Darkness,0.29116356
22728,Darwin,"Darwin, Charles",The Foundations of the Origin of Species: Two Essays written in 1842 and 1844,0.2901349
26301,Austen,"Austen, Jane",Pride and Prejudice,0.2892006
21153,Darwin,"Darwin, Charles",On the Origin of Species by Means of Natural Selection,0.28416717
564,Dickens,"Dickens, Charles",The Mystery of Edwin Drood,0.28044665
55317,Marcus Aurelius,"Marcus Aurelius, Emperor of Rome",The Meditations of the Emperor Marcus Aurelius Antoninus: A new rendering based on the Foulis translation of 1742,0.27323368
161,Austen,"Austen, Jane",Sense and Sensibility,0.27272424
1700,Gaskell,"Gaskell, Elizabeth Cleghorn",The Life of Charlotte Brontë — Volume 2,0.27142084
59195,Tolstoy,"Tolstoy, Leo, graf",Index of the Project Gutenberg Works of Leon Tolstoy,0.27062747
24923,Darwin,"Darwin, Charles","The Variation of Animals and Plants Under Domestication, Vol. I.",0.2699996
6157,Tolstoy,"Tolstoy, Leo, graf","What Men Live By, and Other Tales",0.26371622
2680,Marcus Aurelius,"Marcus Aurelius, Emperor of Rome",Meditations,0.25938886
30486,Bronte,"Brontë, Charlotte",Shirley,0.25828284
64908,Tolstoy,"Tolstoy, Leo, graf",What Is Art?,0.25581822
98,Dickens,"Dickens, Charles",A Tale of Two Cities,0.2527867
1750,Plato,Plato,Laws,0.25140578
28920,Tolstoy,"Tolstoy, Leo, graf","War and Peace, Book 01: 1805",0.25012136
2739,Darwin,"Darwin, Charles",More Letters of Charles Darwin — Volume 1: A Record of His Work in a Series of Hitherto Unpublished Letters,0.24936447
25012,Nietzsche,"Nietzsche, Friedrich Wilhelm","The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.",0.24894196
21181,Bronte,"Brontë, Charlotte",Villette,0.24596435
23077,Bronte,"Brontë, Charlotte",Jane Eyre,0.23746154
4232,Thoreau,"Thoreau, Henry David",A Week on the Concord and Merrimack Rivers,0.23392245
9182,Bronte,"Brontë, Charlotte",Villette,0.23218827
31100,Austen,"Austen, Jane",The Complete Project Gutenberg Works of Jane Austen: A Linked Index of all PG Editions of Jane Austen,0.22751075
19839,Austen,"Austen, Jane",Emma,0.22741883
26289,Thoreau,"Thoreau, Henry David",Walden,0.22110473
1028,Bronte,"Brontë, Charlotte",The Professor,0.2206951
55201,Plato,Plato,The Republic of Plato,0.22055727
9695,Dickens,"Dickens, Charles",Bleak House,0.21481362
1827,Gaskell,"Gaskell, Elizabeth Cleghorn",The Life of Charlotte Brontë — Volume 1,0.21288595
47530,Dickens,"Dickens, Charles","Oliver Twist, Vol. 2 (of 3)",0.20565736
1212,Austen,"Austen, Jane",Love and Freindship [sic],0.19634545
42500,Thoreau,"Thoreau, Henry David","The Maine Woods: The Writings of Henry David Thoreau, Volume 03 (of 20)",0.19341464
1228,Darwin,"Darwin, Charles","On the Origin of Species By Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life",0.19055197
121,Austen,"Austen, Jane",Northanger Abbey,0.18811624
2600,Tolstoy,"Tolstoy, Leo, graf",War and Peace,0.18374577
59784,Marcus Aurelius,"Marcus Aurelius, Emperor of Rome",Index of the Project Gutenberg Works of Marcus Aurelius Antoninus,0.17611197
2009,Darwin,"Darwin, Charles","The Origin of Species by Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life, 6th Edition",0.13626906
158,Austen,"Austen, Jane",Emma,0.100943305
