Japanese,English,Category
共鳴,Resonance,Interaction
探求,Inquiry,Philosophy
洞察,Insight,Recognition
変容,Transformation,Process
防衛,Protection,Defense
回復,Restoration,Recovery
封印,Sealing,Control
衝動,Impulse,Emotion
均衡,Balance,Order
逆転,Reversal,Tactics
集中,Focus,Mind
連鎖,Chain,Relation
覚醒,Awakening,Power
遮断,Interruption,Control
循環,Circulation,Flow
調和,Harmony,Community
孤立,Isolation,Individual
因果,Causality,Karma
理想,Ideal,Vision
精密,Precision,Science
速度,Acceleration,Economy
抵抗,Resistance,Defense
浸食,Erosion,Damage
再生,Regeneration,Recovery

